month,revenue_eur,shipments_processed,avg_revenue_per_shipment_eur,market
2016-01-01,760457.01,54867,13.86,consolidated
2016-02-01,664686.4,46352,14.34,consolidated
2016-03-01,767735.34,49788,15.42,consolidated
2016-04-01,779413.47,55633,14.01,consolidated
2016-05-01,744144.14,53651,13.87,consolidated
2016-06-01,728897.85,48561,15.01,consolidated
2016-07-01,714490.2,50034,14.28,consolidated
2016-08-01,761241.33,50380,15.11,consolidated
2016-09-01,729033.05,47931,15.21,consolidated
2016-10-01,773207.28,55948,13.82,consolidated
2016-11-01,997936.44,64466,15.48,consolidated
2016-12-01,963018.79,67962,14.17,consolidated
2017-01-01,854877.17,58513,14.61,consolidated
2017-02-01,731959.01,52171,14.03,consolidated
2017-03-01,845907.66,55469,15.25,consolidated
2017-04-01,842607.74,54187,15.55,consolidated
2017-05-01,820461.65,50834,16.14,consolidated
2017-06-01,807570.19,53411,15.12,consolidated
2017-07-01,844428.83,55264,15.28,consolidated
2017-08-01,847069.54,55765,15.19,consolidated
2017-09-01,834223.75,59973,13.91,consolidated
2017-10-01,795255.68,54883,14.49,consolidated
2017-11-01,1028397.99,71615,14.36,consolidated
2017-12-01,1030131.87,71191,14.47,consolidated
2018-01-01,853449.97,58137,14.68,consolidated
2018-02-01,742237.42,51905,14.3,consolidated
2018-03-01,822403.95,51240,16.05,consolidated
2018-04-01,854489.95,55995,15.26,consolidated
2018-05-01,814334.05,52369,15.55,consolidated
2018-06-01,813682.65,55315,14.71,consolidated
2018-07-01,883244.09,57578,15.34,consolidated
2018-08-01,846820.31,54846,15.44,consolidated
2018-09-01,870893.99,55613,15.66,consolidated
2018-10-01,819210.17,59021,13.88,consolidated
2018-11-01,1079093.19,74729,14.44,consolidated
2018-12-01,1070296.53,66644,16.06,consolidated
2019-01-01,952350.54,65409,14.56,consolidated
2019-02-01,795948.21,53963,14.75,consolidated
2019-03-01,955854.73,64151,14.9,consolidated
2019-04-01,896227.78,62281,14.39,consolidated
2019-05-01,923439.66,63994,14.43,consolidated
2019-06-01,925570.61,58030,15.95,consolidated
2019-07-01,908574.16,63404,14.33,consolidated
2019-08-01,963471.61,64146,15.02,consolidated
2019-09-01,880260.62,63283,13.91,consolidated
2019-10-01,881980.56,57608,15.31,consolidated
2019-11-01,1219956.68,82374,14.81,consolidated
2019-12-01,1153089.68,78335,14.72,consolidated
2020-01-01,992241.88,65842,15.07,consolidated
2020-02-01,804907.29,50719,15.87,consolidated
2020-03-01,899159.74,57898,15.53,consolidated
2020-04-01,962519.3,63785,15.09,consolidated
2020-05-01,923298.49,60189,15.34,consolidated
2020-06-01,908619.88,61228,14.84,consolidated
2020-07-01,940966.78,58481,16.09,consolidated
2020-08-01,980872.4,67975,14.43,consolidated
2020-09-01,945396.88,66437,14.23,consolidated
2020-10-01,984348.89,61948,15.89,consolidated
2020-11-01,1209890.06,78923,15.33,consolidated
2020-12-01,1239245.31,87456,14.17,consolidated
2021-01-01,1057471.9,70078,15.09,consolidated
2021-02-01,887264.28,58876,15.07,consolidated
2021-03-01,978960.02,67144,14.58,consolidated
2021-04-01,980908.02,61192,16.03,consolidated
2021-05-01,1069446.54,67686,15.8,consolidated
2021-06-01,1010588.03,72496,13.94,consolidated
2021-07-01,1069373.15,66545,16.07,consolidated
2021-08-01,987727.01,65980,14.97,consolidated
2021-09-01,986032.9,63086,15.63,consolidated
2021-10-01,1057814.37,74969,14.11,consolidated
2021-11-01,1337001.9,88426,15.12,consolidated
2021-12-01,1315339.77,82778,15.89,consolidated
2022-01-01,1053177.23,73597,14.31,consolidated
2022-02-01,926582.69,59587,15.55,consolidated
2022-03-01,1029616.99,70764,14.55,consolidated
2022-04-01,1113886.79,72519,15.36,consolidated
2022-05-01,1054765.21,70131,15.04,consolidated
2022-06-01,1021110.72,71207,14.34,consolidated
2022-07-01,1044150.32,68649,15.21,consolidated
2022-08-01,1032691.0,72065,14.33,consolidated
2022-09-01,1015802.87,66349,15.31,consolidated
2022-10-01,1032566.51,64657,15.97,consolidated
2022-11-01,1417904.68,101496,13.97,consolidated
2022-12-01,1351928.84,87731,15.41,consolidated
2023-01-01,1123796.35,79589,14.12,consolidated
2023-02-01,987056.79,65066,15.17,consolidated
2023-03-01,1153693.44,73577,15.68,consolidated
2023-04-01,1192427.95,83620,14.26,consolidated
2023-05-01,1110225.74,74864,14.83,consolidated
2023-06-01,1148014.16,76945,14.92,consolidated
2023-07-01,1183355.76,76742,15.42,consolidated
2023-08-01,1212865.9,86386,14.04,consolidated
2023-09-01,1145589.7,78411,14.61,consolidated
2023-10-01,1198695.27,83243,14.4,consolidated
2023-11-01,1468073.17,98661,14.88,consolidated
2023-12-01,1494874.34,103309,14.47,consolidated
2024-01-01,1161748.57,72519,16.02,consolidated
2024-02-01,1046003.73,65911,15.87,consolidated
2024-03-01,1197557.22,86031,13.92,consolidated
2024-04-01,1251053.19,79130,15.81,consolidated
2024-05-01,1247444.4,77868,16.02,consolidated
2024-06-01,1233109.87,86839,14.2,consolidated
2024-07-01,1189849.71,83148,14.31,consolidated
2024-08-01,1179769.0,84632,13.94,consolidated
2024-09-01,1177139.57,72843,16.16,consolidated
2024-10-01,1163583.17,74208,15.68,consolidated
2024-11-01,1543667.82,104161,14.82,consolidated
2024-12-01,1603521.02,99044,16.19,consolidated
2025-01-01,1306044.31,84152,15.52,consolidated
2025-02-01,1158868.49,79867,14.51,consolidated
2025-03-01,1359677.14,89511,15.19,consolidated
2025-04-01,1304281.43,83608,15.6,consolidated
2025-05-01,1241285.69,81664,15.2,consolidated
2025-06-01,1299171.32,81967,15.85,consolidated
2025-07-01,1254308.44,77859,16.11,consolidated
2025-08-01,1244265.94,87317,14.25,consolidated
2025-09-01,1311144.28,85029,15.42,consolidated
2025-10-01,1264409.36,89738,14.09,consolidated
2025-11-01,1739132.01,120857,14.39,consolidated
2025-12-01,1700717.6,111231,15.29,consolidated
